number,symbol,atomic_mass,boil,density,melt,electron_affinity,electronegativity_pauling,period,group,Gas,Solid,Liquid,ionization_energies,oxidationstates,,category,molar_heat,block,shells,electron_configuration,electron_configuration_semantic,xpos,ypos,wxpos,wypos
1,H,1.008,20.271,0.08988,13.99,72.769,2.2,1,1,1,0,0,[1312],"[-1,1]",,diatomic nonmetal,28.836,s,[1],1s1,1s1,1,1,1,1
2,He,4.0026022,4.222,0.1786,0.95,-48,0,1,18,1,0,0,"[2372.3, 5250.5]",[0],,noble gas,,s,[2],1s2,1s2,18,1,32,1
3,Li,6.94,1603,0.534,453.65,59.6326,0.98,2,1,0,1,0,"[520.2, 7298.1, 11815]","[0,1]",,alkali metal,24.86,s,"[2, 1]",1s2 2s1,[He] 2s1,1,2,1,2
4,Be,9.01218315,2742,1.85,1560,-48,1.57,2,2,0,1,0,"[899.5, 1757.1, 14848.7, 21006.6]","[0,1,2]",,alkaline earth metal,16.443,s,"[2, 2]",1s2 2s2,[He] 2s2,2,2,2,2
5,B,10.81,4200,2.08,2349,26.989,2.04,2,13,0,1,0,"[800.6, 2427.1, 3659.7, 25025.8, 32826.7]","[-5,-1,0,1,2,3]",,metalloid,11.087,p,"[2, 3]",1s2 2s2 2p1,[He] 2s2 2p1,13,2,27,2
6,C,12.011,,1.821,,121.7763,2.55,2,14,0,1,0,"[1086.5, 2352.6, 4620.5, 6222.7, 37831, 47277]","[-4,-3,-2,-1,0,1,2,3,4]",,polyatomic nonmetal,8.517,p,"[2, 4]",1s2 2s2 2p2,[He] 2s2 2p2,14,2,28,2
7,N,14.007,77.355,1.251,63.15,-6.8,3.04,2,15,1,0,0,"[1402.3, 2856, 4578.1, 7475, 9444.9, 53266.6, 64360]","[-3,-2,-1,0,1,2,3,4]",,diatomic nonmetal,,p,"[2, 5]",1s2 2s2 2p3,[He] 2s2 2p3,15,2,29,2
8,O,15.999,90.188,1.429,54.36,140.976,3.44,2,16,1,0,0,"[1313.9, 3388.3, 5300.5, 7469.2, 10989.5, 13326.5, 71330, 84078]","[-3,-2,-1,0,1,2,3,4,5]",,diatomic nonmetal,,p,"[2, 6]",1s2 2s2 2p4,[He] 2s2 2p4,16,2,30,2
9,F,18.99840316,85.03,1.696,53.48,328.1649,3.98,2,17,1,0,0,"[1681, 3374.2, 6050.4, 8407.7, 11022.7, 15164.1, 17868, 92038.1, 106434.3]","[-2,-1,0,1,2]",,diatomic nonmetal,,p,"[2, 7]",1s2 2s2 2p5,[He] 2s2 2p5,17,2,31,2
10,Ne,20.17976,27.104,0.9002,24.56,-116,0,2,18,1,0,0,"[2080.7, 3952.3, 6122, 9371, 12177, 15238, 19999, 23069.5, 115379.5, 131432]","[-1,0]",,noble gas,,p,"[2, 8]",1s2 2s2 2p6,[He] 2s2 2p6,18,2,32,2
11,Na,22.98976928,1156.09,0.968,370.944,52.867,0.93,3,1,0,1,0,"[495.8, 4562, 6910.3, 9543, 13354, 16613, 20117, 25496, 28932, 141362, 159076]",,,alkali metal,28.23,s,"[2, 8, 1]",1s2 2s2 2p6 3s1,[Ne] 3s1,1,3,1,3
12,Mg,24.305,1363,1.738,923,-40,1.31,3,2,0,1,0,"[737.7, 1450.7, 7732.7, 10542.5, 13630, 18020, 21711, 25661, 31653, 35458, 169988, 189368]",,,alkaline earth metal,24.869,s,"[2, 8, 2]",1s2 2s2 2p6 3s2,[Ne] 3s2,2,3,2,3
13,Al,26.98153857,2743,2.7,933.47,41.762,1.61,3,13,0,1,0,"[577.5, 1816.7, 2744.8, 11577, 14842, 18379, 23326, 27465, 31853, 38473, 42647, 201266, 222316]",,,post-transition metal,24.2,p,"[2, 8, 3]",1s2 2s2 2p6 3s2 3p1,[Ne] 3s2 3p1,13,3,27,3
14,Si,28.085,3538,2.329,1687,134.0684,1.9,3,14,0,1,0,"[786.5, 1577.1, 3231.6, 4355.5, 16091, 19805, 23780, 29287, 33878, 38726, 45962, 50502, 235196, 257923]",,,metalloid,19.789,p,"[2, 8, 4]",1s2 2s2 2p6 3s2 3p2,[Ne] 3s2 3p2,14,3,28,3
15,P,30.973762,,1.823,,72.037,2.19,3,15,0,1,0,"[1011.8, 1907, 2914.1, 4963.6, 6273.9, 21267, 25431, 29872, 35905, 40950, 46261, 54110, 59024, 271791, 296195]",,,polyatomic nonmetal,23.824,p,"[2, 8, 5]",1s2 2s2 2p6 3s2 3p3,[Ne] 3s2 3p3,15,3,29,3
16,S,32.06,717.8,2.07,388.36,200.4101,2.58,3,16,0,1,0,"[999.6, 2252, 3357, 4556, 7004.3, 8495.8, 27107, 31719, 36621, 43177, 48710, 54460, 62930, 68216, 311048, 337138]",,,polyatomic nonmetal,22.75,p,"[2, 8, 6]",1s2 2s2 2p6 3s2 3p4,[Ne] 3s2 3p4,16,3,30,3
17,Cl,35.45,239.11,3.2,171.6,348.575,3.16,3,17,1,0,0,"[1251.2, 2298, 3822, 5158.6, 6542, 9362, 11018, 33604, 38600, 43961, 51068, 57119, 63363, 72341, 78095, 352994, 380760]",,,diatomic nonmetal,,p,"[2, 8, 7]",1s2 2s2 2p6 3s2 3p5,[Ne] 3s2 3p5,17,3,31,3
18,Ar,39.9481,87.302,1.784,83.81,-96,0,3,18,1,0,0,"[1520.6, 2665.8, 3931, 5771, 7238, 8781, 11995, 13842, 40760, 46186, 52002, 59653, 66199, 72918, 82473, 88576, 397605, 427066]",,,noble gas,,p,"[2, 8, 8]",1s2 2s2 2p6 3s2 3p6,[Ne] 3s2 3p6,18,3,32,3
19,K,39.09831,1032,0.862,336.7,48.383,0.82,4,1,0,1,0,"[418.8, 3052, 4420, 5877, 7975, 9590, 11343, 14944, 16963.7, 48610, 54490, 60730, 68950, 75900, 83080, 93400, 99710, 444880, 476063]",,,alkali metal,29.6,s,"[2, 8, 8, 1]",1s2 2s2 2p6 3s2 3p6 4s1,[Ar] 4s1,1,4,1,4
20,Ca,40.0784,1757,1.55,1115,2.37,1,4,2,0,1,0,"[589.8, 1145.4, 4912.4, 6491, 8153, 10496, 12270, 14206, 18191, 20385, 57110, 63410, 70110, 78890, 86310, 94000, 104900, 111711, 494850, 527762]",,,alkaline earth metal,25.929,s,"[2, 8, 8, 2]",1s2 2s2 2p6 3s2 3p6 4s2,[Ar] 4s2,2,4,2,4
21,Sc,44.9559085,3109,2.985,1814,18,1.36,4,3,0,1,0,"[633.1, 1235, 2388.6, 7090.6, 8843, 10679, 13310, 15250, 17370, 21726, 24102, 66320, 73010, 80160, 89490, 97400, 105600, 117000, 124270, 547530, 582163]",,,transition metal,25.52,d,"[2, 8, 9, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d1,[Ar] 3d1 4s2,3,4,17,4
22,Ti,47.8671,3560,4.506,1941,7.289,1.54,4,4,0,1,0,"[658.8, 1309.8, 2652.5, 4174.6, 9581, 11533, 13590, 16440, 18530, 20833, 25575, 28125, 76015, 83280, 90880, 100700, 109100, 117800, 129900, 137530, 602930, 639294]",,,transition metal,25.06,d,"[2, 8, 10, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d2,[Ar] 3d2 4s2,4,4,18,4
