Li2O,1436
Li2O2,195
BeO,2570
B2O3,450
Na2O,1132
Na2O2,675
MgO,2800
Al2O3,2072
SiO2,1713
P2O5,340
K2O,738
K2O2,490
CaO,2572
Sc2O3,2480
TiO2,1843
V2O5,690
Cr2O3,2435
MnO,1974
Mn2O3,1966
MnO2,535
FeO,1369
Fe3O4,1597
Fe2O3,1565
CoO,1945
Co2O3,895
Co3O4,895
NiO,1655
Cu2O,1235
CuO,1326
ZnO,1975
Ga2O3,1900
Ge2O3,NA
As2O3,300
As2O5,315
SeO3,118.4
SeO2,340
Br2O,17.5
BrO2,-40
Br2O3,480
Br2O5,20
Br3O8,NA
Rb2O2,NA
Rb2O,400
RbO2,NA
SrO,2710
SrO2,215
Y2O3,2410
YO,NA
ZrO2,2715
Nb2O5,1550
NbO,NA
NbO3,NA
MoO2,1310
Mo2O5,740
MoO3,795
TcO2,NA
Tc2O7,119.5
RuO2,1950
Rh2O3,1100
PdO,350
Ag2O,300
CdO,862
In2O3,1913
SnO,113
SnO2,1127
Sb2O3,656
Sb2O5,380
TeO2,733
I4O9,75
IO2,130
I2O4,100
I2O5,300
I4O9,75
XeO2,NA
XeO4,-35.9
XeO3,25
Cs2O,500
BaO2,450
BaO,1923
La2O3,2315
CeO2,2570
Pr6O11,2183
Nd2O3,2272
Pm2O3,2320
Sm2O3,2335
Eu2O3,1900
Gd2O3,2420
Tb4O7,2270
Dy2O3,2400
Ho2O3,2415
Er2O3,2344
Tm2O3,2300
Yb2O3,2425
Lu2O3,2410
HfO2,2812
Ta2O5,1800
WO2,1600
WO3,1473
Re2O7,360
OsO2,410
OsO4,40.25
IrO2,1100
PtO2,450
Au2O,-150
HgO,500
Ti2O,1843
Ti2O3,2130
PbO,888
PbO2,290
Bi2O3,820
PoO2,500
At2O,NA
