Melting temp,Formula,Element1,#El1,phase,atomic_mass,boil,density,melt,electron_affinity,electronegativity_pauling,firstionE,Element2,#El2,phase,atomic_mass,boil,density,melt,electron_affinity,electronegativity_pauling,firstionE
1436,Li2O,Li,2,2.0,13.88,3206.0,1.068,907.3,119.2652,1.96,1040.4,O,1,3.0,15.999,90.188,1.429,54.36,140.976,3.44,1313.9
195,Li2O2,Li,2,2.0,13.88,3206.0,1.068,907.3,119.2652,1.96,1040.4,O,2,6.0,31.998,180.376,2.858,108.72,281.952,6.88,2627.8
2570,BeO,Be,1,1.0,9.01218315,2742.0,1.85,1560.0,-48.0,1.57,899.5,O,1,3.0,15.999,90.188,1.429,54.36,140.976,3.44,1313.9
450,B2O3,B,2,2.0,21.62,8400.0,4.16,4698.0,53.978,4.08,1601.2,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
1132,Na2O,Na,2,2.0,45.97953856,2312.18,1.936,741.888,105.734,1.86,991.6,O,1,3.0,15.999,90.188,1.429,54.36,140.976,3.44,1313.9
675,Na2O2,Na,2,2.0,45.97953856,2312.18,1.936,741.888,105.734,1.86,991.6,O,2,6.0,31.998,180.376,2.858,108.72,281.952,6.88,2627.8
2800,MgO,Mg,1,1.0,24.305,1363.0,1.738,923.0,-40.0,1.31,737.7,O,1,3.0,15.999,90.188,1.429,54.36,140.976,3.44,1313.9
2072,Al2O3,Al,2,2.0,53.96307714,5486.0,5.4,1866.94,83.524,3.22,1155.0,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
1713,SiO2,Si,1,1.0,28.085,3538.0,2.329,1687.0,134.0684,1.9,786.5,O,2,6.0,31.998,180.376,2.858,108.72,281.952,6.88,2627.8
340,P2O5,P,2,2.0,61.947524,0.0,3.646,0.0,144.074,4.38,2023.6,O,5,15.0,79.995,450.94,7.1450000000000005,271.8,704.88,17.2,6569.5
738,K2O,K,2,2.0,78.19662,2064.0,1.724,673.4,96.766,1.64,837.6,O,1,3.0,15.999,90.188,1.429,54.36,140.976,3.44,1313.9
490,K2O2,K,2,2.0,78.19662,2064.0,1.724,673.4,96.766,1.64,837.6,O,2,6.0,31.998,180.376,2.858,108.72,281.952,6.88,2627.8
2572,CaO,Ca,1,1.0,40.0784,1757.0,1.55,1115.0,2.37,1.0,589.8,O,1,3.0,15.999,90.188,1.429,54.36,140.976,3.44,1313.9
2480,Sc2O3,Sc,2,2.0,89.911817,6218.0,5.97,3628.0,36.0,2.72,1266.2,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
1843,TiO2,Ti,1,1.0,47.8671,3560.0,4.506,1941.0,7.289,1.54,658.8,O,2,6.0,31.998,180.376,2.858,108.72,281.952,6.88,2627.8
690,V2O5,V,2,2.0,101.88302,7360.0,12.0,4366.0,101.822,3.26,1301.8,O,5,15.0,79.995,450.94,7.1450000000000005,271.8,704.88,17.2,6569.5
2435,Cr2O3,Cr,2,2.0,103.99232,5888.0,14.38,4360.0,130.42,3.32,1305.8,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
1974,MnO,Mn,1,1.0,54.9380443,2334.0,7.21,1519.0,-50.0,1.55,717.3,O,1,3.0,15.999,90.188,1.429,54.36,140.976,3.44,1313.9
1966,Mn2O3,Mn,2,2.0,109.8760886,4668.0,14.42,3038.0,-100.0,3.1,1434.6,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
535,MnO2,Mn,1,1.0,54.9380443,2334.0,7.21,1519.0,-50.0,1.55,717.3,O,2,6.0,31.998,180.376,2.858,108.72,281.952,6.88,2627.8
1369,FeO,Fe,1,1.0,55.8452,3134.0,7.874,1811.0,14.785,1.83,762.5,O,1,3.0,15.999,90.188,1.429,54.36,140.976,3.44,1313.9
1597,Fe3O4,Fe,3,3.0,167.5356,9402.0,23.622,5433.0,44.355000000000004,5.49,2287.5,O,4,12.0,63.996,360.752,5.716,217.44,563.904,13.76,5255.6
1565,Fe2O3,Fe,2,2.0,111.6904,6268.0,15.748,3622.0,29.57,3.66,1525.0,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
1945,CoO,Co,1,1.0,58.9331944,3200.0,8.9,1768.0,63.898,1.88,760.4,O,1,3.0,15.999,90.188,1.429,54.36,140.976,3.44,1313.9
895,Co2O3,Co,2,2.0,117.8663888,6400.0,17.8,3536.0,127.796,3.76,1520.8,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
895,Co3O4,Co,3,3.0,176.7995832,9600.0,26.700000000000003,5304.0,191.69400000000002,5.64,2281.2,O,4,12.0,63.996,360.752,5.716,217.44,563.904,13.76,5255.6
1655,NiO,Ni,1,1.0,58.69344,3003.0,8.908,1728.0,111.65,1.91,737.1,O,1,3.0,15.999,90.188,1.429,54.36,140.976,3.44,1313.9
1235,Cu2O,Cu,2,2.0,127.0926,5670.0,17.92,2715.54,238.47,3.8,1491.0,O,1,3.0,15.999,90.188,1.429,54.36,140.976,3.44,1313.9
1326,CuO,Cu,1,1.0,63.5463,2835.0,8.96,1357.77,119.235,1.9,745.5,O,1,3.0,15.999,90.188,1.429,54.36,140.976,3.44,1313.9
1975,ZnO,Zn,1,1.0,65.382,1180.0,7.14,692.68,-58.0,1.65,906.4,O,1,3.0,15.999,90.188,1.429,54.36,140.976,3.44,1313.9
1900,Ga2O3,Ga,2,2.0,139.4462,5346.0,11.82,605.8292,82.0,3.62,1157.6,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
300,As2O3,As,2,2.0,149.8431912,0.0,11.454,0.0,155.3,4.36,1894.0,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
315,As2O5,As,2,2.0,149.8431912,0.0,11.454,0.0,155.3,4.36,1894.0,O,5,15.0,79.995,450.94,7.1450000000000005,271.8,704.88,17.2,6569.5
118.4,SeO3,Se,1,1.0,78.9718,958.0,4.81,494.0,194.9587,2.55,941.0,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
340,SeO2,Se,1,1.0,78.9718,958.0,4.81,494.0,194.9587,2.55,941.0,O,2,6.0,31.998,180.376,2.858,108.72,281.952,6.88,2627.8
17.5,Br2O,Br,2,10.0,159.808,664.0,6.2056,531.6,649.074,5.92,2279.8,O,1,3.0,15.999,90.188,1.429,54.36,140.976,3.44,1313.9
-40,BrO2,Br,1,5.0,79.904,332.0,3.1028,265.8,324.537,2.96,1139.9,O,2,6.0,31.998,180.376,2.858,108.72,281.952,6.88,2627.8
480,Br2O3,Br,2,10.0,159.808,664.0,6.2056,531.6,649.074,5.92,2279.8,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
20,Br2O5,Br,2,10.0,159.808,664.0,6.2056,531.6,649.074,5.92,2279.8,O,5,15.0,79.995,450.94,7.1450000000000005,271.8,704.88,17.2,6569.5
400,Rb2O,Rb,2,2.0,170.93566,1922.0,3.064,624.9,93.768,1.64,806.0,O,1,3.0,15.999,90.188,1.429,54.36,140.976,3.44,1313.9
2710,SrO,Sr,1,1.0,87.621,1650.0,2.64,1050.0,5.023,0.95,549.5,O,1,3.0,15.999,90.188,1.429,54.36,140.976,3.44,1313.9
215,SrO2,Sr,1,1.0,87.621,1650.0,2.64,1050.0,5.023,0.95,549.5,O,2,6.0,31.998,180.376,2.858,108.72,281.952,6.88,2627.8
2410,Y2O3,Y,2,2.0,177.811684,6406.0,8.944,3598.0,59.2,2.44,1200.0,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
