# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy
0 0 1.30023e+06
100 5.87173 1.29851e+06
200 6.79878 1.29622e+06
300 6.78477 1.29401e+06
400 6.76807 1.2919e+06
500 6.74855 1.28987e+06
600 6.72614 1.28793e+06
700 6.70074 1.28607e+06
800 6.67229 1.28428e+06
900 6.64071 1.28257e+06
1000 6.60589 1.28094e+06
1100 6.5678 1.27938e+06
1200 6.52651 1.27789e+06
1300 6.4821 1.27647e+06
1400 6.43447 1.27513e+06
1500 6.38352 1.27387e+06
1600 6.32918 1.27268e+06
1700 6.27143 1.27156e+06
1800 6.21025 1.27052e+06
1900 6.1456 1.26957e+06
2000 6.07753 1.26869e+06
